variant,family,metric,value
fragweave,native,native_probe_attack_success_rate,0.0
fragweave,native,native_detection_score,0.0
fragweave,native,native_purification_score,1.0
fragweave,native,native_defense_success_rate,1.0
fragweave,migrated,migrated_attack_success_rate,0.0
fragweave,migrated,migrated_localization_score,1.0
fragweave,migrated,migrated_asr_after_sanitize,0.0
fragweave,migrated,migrated_task_success_rate,0.0
fragweave,migrated,migrated_task_success_after_sanitize,0.0
fragweave,migrated,migrated_utility_retention_rate,0.0
direct,native,native_probe_attack_success_rate,0.0
direct,native,native_detection_score,0.0
direct,native,native_purification_score,0.13
direct,native,native_defense_success_rate,1.0
direct,migrated,migrated_attack_success_rate,0.04
direct,migrated,migrated_localization_score,0.0
direct,migrated,migrated_asr_after_sanitize,0.045
direct,migrated,migrated_task_success_rate,0.155
direct,migrated,migrated_task_success_after_sanitize,0.15
direct,migrated,migrated_utility_retention_rate,0.15
